file	lines	last_commit_date	days_since_change	has_oas_import	ref_count	category	suggested_action	reason
mcp_server_eio_types.ml	10	2026-03-16	1	no	4	types	active	recently_modified
mcp_server_eio.ml	250	2026-03-18	0	no	0	infrastructure	active	recently_modified
mcp_server.ml	595	2026-03-18	0	no	38	infrastructure	active	recently_modified
mcp_session.ml	43	2026-03-13	4	no	5	infrastructure	active	recently_modified
mdal_store.ml	326	2026-03-13	4	no	2	infrastructure	active	recently_modified
mdal_swarm.ml	233	2026-03-13	4	no	2	infrastructure	active	recently_modified
mdal_worker.ml	221	2026-03-18	0	no	2	infrastructure	active	recently_modified
mdal.ml	604	2026-03-13	4	no	3	infrastructure	active	recently_modified
memory_stream.ml	354	2026-03-18	0	no	5	infrastructure	active	recently_modified
mention_inbox.ml	138	2026-03-16	1	no	3	infrastructure	active	recently_modified
mention.ml	125	2026-03-18	0	no	8	infrastructure	active	recently_modified
message_schema.ml	328	2026-03-17	0	no	0	infrastructure	active	recently_modified
metrics_store_eio.ml	214	2026-03-18	0	no	3	infrastructure	active	recently_modified
mind_eio.ml	573	2026-03-13	4	no	0	infrastructure	active	recently_modified
mitosis_defaults.ml	80	2026-03-17	0	no	0	lifecycle	active	recently_modified
mitosis_helpers.ml	691	2026-03-18	0	no	0	lifecycle	active	recently_modified
mitosis_metrics.ml	39	2026-03-13	4	no	1	lifecycle	active	recently_modified
mitosis_spawn.ml	225	2026-03-18	0	no	0	lifecycle	active	recently_modified
mitosis.ml	877	2026-03-18	0	no	7	lifecycle	active	recently_modified
mode.ml	510	2026-03-18	0	no	12	infrastructure	active	recently_modified
nickname.ml	58	2026-03-13	4	no	2	infrastructure	active	recently_modified
noosphere_eio.ml	447	2026-03-18	0	no	0	infrastructure	active	recently_modified
notify.ml	278	2026-03-16	1	no	2	infrastructure	active	recently_modified
oas_events.ml	147	2026-03-18	0	yes	3	oas_bridge	active	oas_integrated
oas_sse_bridge.ml	46	2026-03-18	0	yes	1	oas_bridge	active	oas_integrated
operator_control_action.ml	400	2026-03-16	1	no	0	infrastructure	active	recently_modified
operator_control_snapshot.ml	513	2026-03-18	0	no	0	infrastructure	active	recently_modified
operator_control.ml	884	2026-03-18	0	no	9	infrastructure	active	recently_modified
operator_digest_session.ml	687	2026-03-16	1	no	0	infrastructure	active	recently_modified
operator_digest_types.ml	670	2026-03-18	0	no	0	types	active	recently_modified
operator_digest.ml	457	2026-03-17	0	no	0	infrastructure	active	recently_modified
operator_judgment.ml	251	2026-03-18	0	no	3	infrastructure	active	recently_modified
operator_pending_confirm.ml	376	2026-03-18	0	no	0	infrastructure	active	recently_modified
orchestrator.ml	264	2026-03-18	0	no	2	infrastructure	active	recently_modified
perpetual_loop.ml	420	2026-03-18	0	yes	7	perpetual	active	oas_integrated
perpetual_oas_build.ml	114	2026-03-18	0	yes	1	perpetual	active	oas_integrated
perpetual_oas_hooks.ml	189	2026-03-18	0	yes	1	perpetual	active	oas_integrated
perpetual_oas_state.ml	51	2026-03-18	0	no	3	perpetual	active	recently_modified
perpetual_oas.ml	251	2026-03-18	0	yes	1	perpetual	active	oas_integrated
planning_eio.ml	353	2026-03-18	0	no	2	infrastructure	active	recently_modified
post_verifier_llm.ml	163	2026-03-18	0	no	1	infrastructure	active	recently_modified
post_verifier.ml	267	2026-03-13	4	no	3	infrastructure	active	recently_modified
procedural_memory.ml	173	2026-03-18	0	no	1	infrastructure	active	recently_modified
process_eio.ml	325	2026-03-16	1	no	33	infrastructure	active	recently_modified
progress.ml	276	2026-03-17	0	no	2	infrastructure	active	recently_modified
prometheus.ml	279	2026-03-17	0	no	14	infrastructure	active	recently_modified
prompt_composer.ml	46	2026-03-17	0	no	1	infrastructure	active	recently_modified
prompt_registry.ml	443	2026-03-18	0	no	4	infrastructure	active	recently_modified
provider_adapter.ml	651	2026-03-18	0	no	15	infrastructure	active	recently_modified
pulse.ml	335	2026-03-17	0	no	5	infrastructure	active	recently_modified
rate_limit.ml	139	2026-03-16	1	no	0	infrastructure	active	recently_modified
reflection.ml	123	2026-03-18	0	no	1	infrastructure	active	recently_modified
relation_materializer.ml	85	2026-03-18	0	no	2	infrastructure	active	recently_modified
relay.ml	355	2026-03-17	0	no	0	infrastructure	active	recently_modified
resilience.ml	135	2026-03-18	0	no	15	infrastructure	active	recently_modified
response.ml	303	2026-03-13	4	no	31	infrastructure	active	recently_modified
room_agent.ml	176	2026-03-16	1	no	0	infrastructure	active	recently_modified
room_checkpoint.ml	54	2026-03-16	1	no	0	infrastructure	active	recently_modified
room_eio.ml	775	2026-03-13	4	no	0	infrastructure	active	recently_modified
room_gc.ml	383	2026-03-17	0	no	2	infrastructure	active	recently_modified
room_git.ml	242	2026-03-18	0	no	2	infrastructure	active	recently_modified
room_multi.ml	112	2026-03-18	0	no	0	infrastructure	active	recently_modified
room_portal.ml	214	2026-03-13	4	no	0	infrastructure	active	recently_modified
room_query.ml	329	2026-03-18	0	no	0	infrastructure	active	recently_modified
room_state.ml	408	2026-03-17	0	no	2	infrastructure	active	recently_modified
room_task.ml	780	2026-03-18	0	no	2	infrastructure	active	recently_modified
room_utils_backend_setup.ml	363	2026-03-17	0	no	3	infrastructure	active	recently_modified
room_utils_ops.ml	289	2026-03-18	0	no	0	infrastructure	active	recently_modified
room_utils_paths_backend.ml	293	2026-03-16	1	no	0	infrastructure	active	recently_modified
room_utils.ml	5	2026-03-13	4	no	68	infrastructure	active	recently_modified
room_vote.ml	181	2026-03-16	1	no	0	infrastructure	active	recently_modified
room_walph_eio.ml	722	2026-03-18	0	no	1	infrastructure	active	recently_modified
