file	lines	category	action	reason	has_oas	ref_count
room_utils_paths_backend.ml	293	infrastructure	active	core_coordination	no	0
room_utils.ml	5	infrastructure	active	core_coordination	no	68
room_vote.ml	181	infrastructure	active	core_coordination	no	0
room_walph_eio.ml	722	infrastructure	active	core_coordination	no	1
room_walph.ml	330	infrastructure	active	core_coordination	no	0
room_worktree.ml	297	infrastructure	active	core_coordination	no	0
room.ml	874	infrastructure	active	core_coordination	no	134
run_eio.ml	242	infrastructure	active	referenced_infra	no	2
run_log_eio.ml	252	infrastructure	active	referenced_infra	no	2
runtime_params.ml	206	infrastructure	active	referenced_infra	no	7
safe_ops.ml	197	infrastructure	active	referenced_infra	no	89
safe_parse.ml	170	infrastructure	active	referenced_infra	no	7
sentinel.ml	888	lifecycle	active	lifecycle_system	yes	4
server_auth.ml	391	server	active	core_server	no	0
server_checkpoint.ml	249	server	active	core_server	no	0
server_command_plane_http_help.ml	440	server	active	core_server	no	1
server_command_plane_http_mutations.ml	90	server	active	core_server	no	1
server_command_plane_http_stream.ml	209	server	active	core_server	no	1
server_command_plane_http_support.ml	217	server	active	core_server	no	2
server_command_plane_http.ml	56	server	active	core_server	no	2
server_dashboard_http_core.ml	560	server	active	core_server	no	0
server_dashboard_http.ml	576	server	active	core_server	no	1
server_h2_gateway_helpers.ml	65	server	active	core_server	no	0
server_h2_gateway_routes_cp.ml	582	server	active	core_server	no	1
server_h2_gateway_routes_extra.ml	564	server	active	core_server	no	1
server_h2_gateway.ml	781	server	active	core_server	no	0
server_mcp_transport_http_headers.ml	204	server	active	core_server	no	4
server_mcp_transport_http_mcp_handlers.ml	405	server	active	core_server	no	0
server_mcp_transport_http_protocol.ml	114	server	active	core_server	no	0
server_mcp_transport_http_session.ml	209	server	active	core_server	no	3
server_mcp_transport_http_sse.ml	144	server	active	core_server	no	1
server_mcp_transport_http_types.ml	11	types	active	types_or_config	no	3
server_mcp_transport_http.ml	842	server	active	core_server	no	3
server_routes_http_common.ml	404	server	active	core_server	no	0
server_routes_http_keeper_stream.ml	495	server	active	core_server	no	0
server_routes_http_pages.ml	336	server	active	core_server	no	0
server_routes_http_routes_command_plane_read.ml	146	server	active	core_server	no	1
server_routes_http_routes_command_plane_write.ml	423	server	active	core_server	no	1
server_routes_http_routes_dashboard.ml	238	server	active	core_server	no	1
server_routes_http_routes_frontend.ml	130	server	active	core_server	no	1
server_routes_http_routes_room.ml	161	server	active	core_server	no	1
server_routes_http_routes_social.ml	372	server	active	core_server	no	1
server_routes_http_routes_trpg.ml	373	server	active	core_server	no	1
server_routes_http_runtime.ml	160	server	active	core_server	no	0
server_routes_http.ml	18	server	active	core_server	no	0
server_runtime_bootstrap.ml	371	server	active	core_server	yes	0
server_social_http.ml	192	server	active	core_server	no	1
server_trpg_rest_actor.ml	718	server	active	core_server	no	0
server_trpg_rest_core.ml	441	server	active	core_server	no	0
server_trpg_rest_models.ml	468	server	active	core_server	no	0
server_trpg_rest_runtime.ml	387	server	active	core_server	no	0
server_trpg_rest_views.ml	619	server	active	core_server	no	0
server_trpg_rest.ml	3	server	active	core_server	no	0
server_tts_proxy.ml	22	server	active	core_server	no	0
server_utils.ml	119	server	active	core_server	no	2
session.ml	591	infrastructure	active	referenced_infra	no	19
shutdown_hooks.ml	26	infrastructure	active	referenced_infra	no	1
shutdown.ml	185	infrastructure	archive	unreferenced_infra	no	0
social_motion.ml	712	infrastructure	active	referenced_infra	no	1
social_runtime.ml	430	infrastructure	active	referenced_infra	no	5
social.ml	396	infrastructure	active	referenced_infra	no	2
spawn_eio.ml	341	infrastructure	active	referenced_infra	yes	11
spawn_registry.ml	438	infrastructure	archive	unreferenced_infra	no	0
